deviceId,timestamp,accel_x,accel_y,accel_z,vibration_magnitude,status,time_diff
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:20:04,2.9999998,-7.2000003,0.25,7.8040055817509595,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:20:10,0.8000002,-8.6,0.25,8.640746514046112,NORMAL,6.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:20:14,0.5999997,-9.0,3.25,9.587622209912116,NORMAL,4.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:20:20,0.6000002,-9.6,2.75,10.00412416156457,NORMAL,6.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:21:10,0.49999973,-9.200001,3.25,9.769980456991767,NORMAL,50.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:21:45,0.60000026,-9.000001,3.25,9.587623183667633,NORMAL,35.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:22:10,0.7000003,-9.000001,3.25,9.594400367923004,NORMAL,25.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:23:10,0.6000003,-8.800001,3.25,9.400133933088458,NORMAL,60.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:05,0.9000004,-8.6,3.5,9.328451142606696,NORMAL,55.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:10,1.6999997,-7.800001,0.25,7.987021633875865,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:11,1.6999997,-7.800001,0.25,7.987021633875865,NORMAL,1.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:15,-2.0999997,-7.8,6.0,10.062305836139155,NORMAL,4.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:20,0.9999997,-4.2000012,3.25,5.403934629508533,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:26,0.30000037,-8.6,5.25,10.080302585835414,NORMAL,6.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:31,0.8999997,-8.000001,3.0,8.59127554324741,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:41,-0.29999965,-11.400001,5.0,12.451908391487672,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:24:51,-0.39999965,-9.400001,3.0,9.875222454203303,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:25:01,0.50000036,-8.8,3.75,9.578752547174405,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:25:11,1.0000004,-8.8,3.75,9.617822040358211,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:28:15,1.0,-8.6,3.0,9.162968951164245,NORMAL,184.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:28:20,0.4,-8.8,4.0,9.67470929795826,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:28:27,2.0,-8.8,2.0,9.243376006633074,NORMAL,7.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:28:32,5.0,-12.2,-4.0,13.778243719719867,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:28:37,1.7,-7.0,3.75,8.121114455541186,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:28:42,1.5,-7.3999996,3.25,8.220249027857985,NORMAL,5.0
